raw_pos,sense_uses,sources,in_std_pos,current_en,current_mi,status,review_en,review_mi
Noun,16478,paekupu:15564;papakupu:914,Y,Noun,Tūingoa,OK,,
noun,13459,te_aka:13459,Y,Noun,Tūingoa,OK,,
ing,11191,hepatakakupu:11191,Y,,,NEEDS_EN+MI,,
proper noun - person,6836,te_aka:6836,Y,Proper noun (person),Tūingoa,OK,,
verb,6539,te_aka:6532;paekupu:7,Y,Verb,Tūmahi,OK,,
"mahp, ing, āhua",4415,hepatakakupu:4415,Y,,,NEEDS_EN+MI,,
proper noun - place,4015,te_aka:4015,Y,Proper noun (place),Tūingoa,OK,,
simple noun,3940,te_aka:3940,Y,Noun,Tūingoa,OK,,
"mahw, ing, āhua",3268,hepatakakupu:3268,Y,,,NEEDS_EN+MI,,
n.,2954,williams:2954,Y,Noun,Tūingoa,OK,,
proper noun - other,2319,te_aka:2319,Y,Proper noun,Tūingoa,OK,,
"āhua, ing, mahp",2208,hepatakakupu:2208,Y,,,NEEDS_EN+MI,,
"loan, noun",1998,te_aka:1998,Y,Noun,Tūingoa,OK,,
a.,1597,williams:1597,Y,Modifier,Tūāhua,OK,,
v.t.,1560,williams:1560,Y,Verb (transitive),Tūmahi whiti,OK,,
"ing, āhua",1305,hepatakakupu:1305,Y,,,NEEDS_EN+MI,,
v.i.,1198,williams:1198,Y,Verb (intransitive),Tūmahi poro,OK,,
adjective,959,te_aka:959,Y,Modifier,Tūāhua,OK,,
modifier,844,te_aka:844,Y,Modifier,Tūāhua,OK,,
stative,642,te_aka:642,Y,Stative,Tūāhua,OK,,
location,576,te_aka:576,Y,Locative,Tūwāhi,OK,,
"loan, personal name",548,te_aka:548,Y,Proper noun (person),Tūingoa,OK,,
Universal,493,papakupu:493,Y,Universal,,NEEDS_MI,,
"loan, location",445,te_aka:445,Y,Locative,Tūwāhi,OK,,
transitive universal verb,366,te_aka:366,Y,Verb (transitive),Tūmahi whiti,OK,,
"ing, mahp, āhua",365,hepatakakupu:365,Y,,,NEEDS_EN+MI,,
Adjective,348,paekupu:348,Y,Modifier,Tūāhua,OK,,
Name,343,papakupu:343,Y,Proper noun,Tūingoa,OK,,
Stative,328,papakupu:328,Y,Stative,Tūāhua,OK,,
unsure,300,te_aka:300,Y,,,NEEDS_EN+MI,,
personal noun,285,te_aka:285,Y,Noun (personal),Tūingoa,OK,,
"loan, verb",282,te_aka:282,Y,Verb,Tūmahi,OK,,
personal name,267,te_aka:267,Y,Proper noun (person),Tūingoa,OK,,
Transitive Verb,265,paekupu:265,Y,Verb (transitive),Tūmahi whiti,OK,,
intransitive verb,262,te_aka:262,Y,Verb (intransitive),Tūmahi poro,OK,,
transitive verb,256,te_aka:256,Y,Verb (transitive),Tūmahi whiti,OK,,
"mahw, ing, mahp, āhua",243,hepatakakupu:243,Y,,,NEEDS_EN+MI,,
Intransitive Verb,238,paekupu:238,Y,Verb (intransitive),Tūmahi poro,OK,,
"mahp, ing, āhua, tūkē",223,hepatakakupu:223,Y,,,NEEDS_EN+MI,,
particle,208,te_aka:208,Y,Particle,,NEEDS_MI,,
Causative,204,papakupu:204,Y,Verb (causative),,NEEDS_MI,,
"āhua, ing, mahp, tūkē",163,hepatakakupu:163,Y,,,NEEDS_EN+MI,,
āhua,161,hepatakakupu:161,Y,,,NEEDS_EN+MI,,
interjection,139,te_aka:139,Y,Interjection,,NEEDS_MI,,
"mahp, ing, mahw, āhua",131,hepatakakupu:131,Y,,,NEEDS_EN+MI,,
loan,126,te_aka:126,Y,,,NEEDS_EN+MI,,
tūkē,125,hepatakakupu:125,Y,,,NEEDS_EN+MI,,
intransitive universal verb,122,te_aka:122,Y,Verb (intransitive),Tūmahi poro,OK,,
Verb,120,papakupu:120,Y,Verb,Tūmahi,OK,,
ad.,105,williams:105,Y,Adverb,Tūkē,OK,,
"loan, modifier",95,te_aka:95,Y,Modifier,Tūāhua,OK,,
determiner,86,te_aka:86,Y,Determiner,,NEEDS_MI,,
"ing, mahp",66,hepatakakupu:66,Y,,,NEEDS_EN+MI,,
ptm,63,hepatakakupu:63,Y,,,NEEDS_EN+MI,,
thu,58,hepatakakupu:58,Y,,,NEEDS_EN+MI,,
pmu,53,hepatakakupu:53,Y,,,NEEDS_EN+MI,,
tkp,53,hepatakakupu:53,Y,,,NEEDS_EN+MI,,
"āhua, ing",49,hepatakakupu:49,Y,,,NEEDS_EN+MI,,
l.n.,48,williams:48,Y,Locative,Tūwāhi,OK,,
numeral,48,te_aka:48,Y,Numeral,,NEEDS_MI,,
pmi,47,hepatakakupu:47,Y,,,NEEDS_EN+MI,,
hono,46,hepatakakupu:46,Y,,,NEEDS_EN+MI,,
"loan, personal noun",46,te_aka:46,Y,Noun (personal),Tūingoa,OK,,
adverb,44,te_aka:44,Y,Adverb,,NEEDS_MI,,
kīa,43,hepatakakupu:43,Y,,,NEEDS_EN+MI,,
"ing, mahp, āhua, tūkē",40,hepatakakupu:40,Y,,,NEEDS_EN+MI,,
wā,38,hepatakakupu:38,Y,,,NEEDS_EN+MI,,
"maho, ing, āhua",36,hepatakakupu:36,Y,,,NEEDS_EN+MI,,
negative,35,te_aka:35,Y,Negative,,NEEDS_MI,,
wāhi,35,hepatakakupu:35,Y,,,NEEDS_EN+MI,,
pīa,31,hepatakakupu:31,Y,,,NEEDS_EN+MI,,
pma,29,hepatakakupu:29,Y,,,NEEDS_EN+MI,,
"ing, mahw",27,hepatakakupu:27,Y,,,NEEDS_EN+MI,,
"particle, determiner",25,te_aka:25,Y,,,NEEDS_EN+MI,,
"tūkē, āhua",23,hepatakakupu:23,Y,,,NEEDS_EN+MI,,
Place name,21,papakupu:21,Y,,,NEEDS_EN+MI,,
kore,21,hepatakakupu:21,Y,,,NEEDS_EN+MI,,
pronoun,21,te_aka:21,Y,Pronoun,,NEEDS_MI,,
pāt,21,hepatakakupu:21,Y,,,NEEDS_EN+MI,,
Verb (transitive),20,papakupu:20,Y,,,NEEDS_EN+MI,,
"loan, stative",18,te_aka:18,Y,Stative,Tūāhua,OK,,
proper noun - name,18,te_aka:18,Y,,,NEEDS_EN+MI,,
"āhua, tūkē",18,hepatakakupu:18,Y,,,NEEDS_EN+MI,,
"maho, ing, mahp, āhua",17,hepatakakupu:17,Y,,,NEEDS_EN+MI,,
v.,17,williams:17,Y,Verb,Tūmahi,OK,,
"āhua, mahp",17,hepatakakupu:17,Y,,,NEEDS_EN+MI,,
Place Name,16,papakupu:16,Y,,,NEEDS_EN+MI,,
kīw,16,hepatakakupu:16,Y,,,NEEDS_EN+MI,,
"ing, mahw, mahp, āhua",15,hepatakakupu:15,Y,,,NEEDS_EN+MI,,
mahh,15,hepatakakupu:15,Y,,,NEEDS_EN+MI,,
"ing, mahw, āhua",14,hepatakakupu:14,Y,,,NEEDS_EN+MI,,
mahp,14,hepatakakupu:14,Y,,,NEEDS_EN+MI,,
experience verb,13,te_aka:13,Y,,,NEEDS_EN+MI,,
"pmu, tkp",13,hepatakakupu:13,Y,,,NEEDS_EN+MI,,
