atomic_code,uses,sources,current_en,current_mi,status,review_en,review_mi
ing,23982,hepatakakupu:23982,,,NEEDS_EN+MI,,
Noun,16479,paekupu:15564;papakupu:915,Noun,Tūingoa,OK,,
noun,15462,te_aka:15462,Noun,Tūingoa,OK,,
āhua,12852,hepatakakupu:12852,,,NEEDS_EN+MI,,
mahp,8011,hepatakakupu:8011,,,NEEDS_EN+MI,,
proper noun - person,6836,te_aka:6836,Proper noun (person),Tūingoa,OK,,
verb,6821,te_aka:6814;paekupu:7,Verb,Tūmahi,OK,,
proper noun - place,4015,te_aka:4015,Proper noun (place),Tūingoa,OK,,
simple noun,3944,te_aka:3944,Noun,Tūingoa,OK,,
mahw,3738,hepatakakupu:3738,,,NEEDS_EN+MI,,
loan,3570,te_aka:3570,,,NEEDS_EN+MI,,
n.,2954,williams:2954,Noun,Tūingoa,OK,,
proper noun - other,2319,te_aka:2319,Proper noun,Tūingoa,OK,,
a.,1597,williams:1597,Modifier,Tūāhua,OK,,
v.t.,1560,williams:1560,Verb (transitive),Tūmahi whiti,OK,,
v.i.,1198,williams:1198,Verb (intransitive),Tūmahi poro,OK,,
location,1021,te_aka:1021,Locative,Tūwāhi,OK,,
adjective,961,te_aka:961,Modifier,Tūāhua,OK,,
modifier,939,te_aka:939,Modifier,Tūāhua,OK,,
personal name,815,te_aka:815,Proper noun (person),Tūingoa,OK,,
stative,660,te_aka:660,Stative,Tūāhua,OK,,
tūkē,660,hepatakakupu:660,,,NEEDS_EN+MI,,
Universal,493,papakupu:493,Universal,,NEEDS_MI,,
transitive universal verb,366,te_aka:366,Verb (transitive),Tūmahi whiti,OK,,
Adjective,348,paekupu:348,Modifier,Tūāhua,OK,,
Name,343,papakupu:343,Proper noun,Tūingoa,OK,,
personal noun,331,te_aka:331,Noun (personal),Tūingoa,OK,,
Stative,329,papakupu:329,Stative,Tūāhua,OK,,
unsure,300,te_aka:300,,,NEEDS_EN+MI,,
Transitive Verb,265,paekupu:265,Verb (transitive),Tūmahi whiti,OK,,
intransitive verb,262,te_aka:262,Verb (intransitive),Tūmahi poro,OK,,
transitive verb,256,te_aka:256,Verb (transitive),Tūmahi whiti,OK,,
Intransitive Verb,238,paekupu:238,Verb (intransitive),Tūmahi poro,OK,,
particle,236,te_aka:236,Particle,,NEEDS_MI,,
Causative,204,papakupu:204,Verb (causative),,NEEDS_MI,,
interjection,145,te_aka:145,Interjection,,NEEDS_MI,,
Verb,122,papakupu:122,Verb,Tūmahi,OK,,
intransitive universal verb,122,te_aka:122,Verb (intransitive),Tūmahi poro,OK,,
determiner,111,te_aka:111,Determiner,,NEEDS_MI,,
ad.,105,williams:105,Adverb,Tūkē,OK,,
maho,86,hepatakakupu:86,,,NEEDS_EN+MI,,
tkp,67,hepatakakupu:67,,,NEEDS_EN+MI,,
pmu,66,hepatakakupu:66,,,NEEDS_EN+MI,,
ptm,63,hepatakakupu:63,,,NEEDS_EN+MI,,
thu,62,hepatakakupu:62,,,NEEDS_EN+MI,,
numeral,52,te_aka:52,Numeral,,NEEDS_MI,,
kīa,49,hepatakakupu:49,,,NEEDS_EN+MI,,
l.n.,48,williams:48,Locative,Tūwāhi,OK,,
pmi,48,hepatakakupu:48,,,NEEDS_EN+MI,,
hono,46,hepatakakupu:46,,,NEEDS_EN+MI,,
adverb,44,te_aka:44,Adverb,,NEEDS_MI,,
wā,41,hepatakakupu:41,,,NEEDS_EN+MI,,
wāhi,41,hepatakakupu:41,,,NEEDS_EN+MI,,
negative,35,te_aka:35,Negative,,NEEDS_MI,,
pīa,34,hepatakakupu:34,,,NEEDS_EN+MI,,
pma,29,hepatakakupu:29,,,NEEDS_EN+MI,,
mahh,26,hepatakakupu:26,,,NEEDS_EN+MI,,
kore,22,hepatakakupu:22,,,NEEDS_EN+MI,,
pāt,22,hepatakakupu:22,,,NEEDS_EN+MI,,
Place name,21,papakupu:21,,,NEEDS_EN+MI,,
pronoun,21,te_aka:21,Pronoun,,NEEDS_MI,,
Verb (transitive),20,papakupu:20,,,NEEDS_EN+MI,,
proper noun - name,18,te_aka:18,,,NEEDS_EN+MI,,
v.,17,williams:17,Verb,Tūmahi,OK,,
Place Name,16,papakupu:16,,,NEEDS_EN+MI,,
kīw,16,hepatakakupu:16,,,NEEDS_EN+MI,,
tau,15,hepatakakupu:15,,,NEEDS_EN+MI,,
experience verb,13,te_aka:13,,,NEEDS_EN+MI,,
conj.,12,williams:12,Conjunction,,NEEDS_MI,,
Personal name,11,papakupu:11,Proper noun (person),Tūingoa,OK,,
pt.,11,williams:11,Particle,,NEEDS_MI,,
Noun phrase,10,papakupu:10,,,NEEDS_EN+MI,,
Pronoun,10,papakupu:10,Pronoun,,NEEDS_MI,,
int.,10,williams:10,Interjection,,NEEDS_MI,,
Derived Noun,9,papakupu:9,,,NEEDS_EN+MI,,
Noun Phrase,9,papakupu:9,,,NEEDS_EN+MI,,
Personal Name,9,papakupu:9,Proper noun (person),Tūingoa,OK,,
Definitive,8,papakupu:8,,,NEEDS_EN+MI,,
Verb (intransitive),8,papakupu:8,,,NEEDS_EN+MI,,
num.,8,williams:8,Numeral,,NEEDS_MI,,
pos.,8,williams:8,Determiner (possessive),,NEEDS_MI,,
pron.,8,williams:8,Pronoun,,NEEDS_MI,,
Adverb,7,paekupu:5;papakupu:2,Adverb,,NEEDS_MI,,
Conjunction,7,papakupu:7,Conjunction,,NEEDS_MI,,
Particle,7,papakupu:7,Particle,,NEEDS_MI,,
adverb (time),7,paekupu:7,,,NEEDS_EN+MI,,
Numeral,6,papakupu:6,Numeral,,NEEDS_MI,,
Possessive pronoun,6,papakupu:6,,,NEEDS_EN+MI,,
passive verb,6,te_aka:6,,,NEEDS_EN+MI,,
pīi,6,hepatakakupu:6,,,NEEDS_EN+MI,,
Note from Te Mātāpunenga ©,5,papakupu:5,,,NEEDS_EN+MI,,
Personal Noun,5,papakupu:5,Noun (personal),Tūingoa,OK,,
Possessive particle,5,papakupu:5,,,NEEDS_EN+MI,,
prep.,5,williams:5,,,NEEDS_EN+MI,,
Exclamation,4,papakupu:4,,,NEEDS_EN+MI,,
Neuter Verb,4,paekupu:4,,,NEEDS_EN+MI,,
Verbal particle,4,papakupu:4,,,NEEDS_EN+MI,,
conjunction,4,te_aka:4,Conjunction,,NEEDS_MI,,
indef.,4,williams:4,Determiner (indefinite),,NEEDS_MI,,
Definitive pronoun,3,papakupu:3,,,NEEDS_EN+MI,,
Exclamatory directional particle,3,papakupu:3,,,NEEDS_EN+MI,,
Exclamatory particle,3,papakupu:3,,,NEEDS_EN+MI,,
Interjection,3,papakupu:3,Interjection,,NEEDS_MI,,
Passive Verb,3,papakupu:3,,,NEEDS_EN+MI,,
Postposed Particle,3,papakupu:3,,,NEEDS_EN+MI,,
pl.,3,williams:3,,,NEEDS_EN+MI,,
prefix.,3,williams:3,Prefix,,NEEDS_MI,,
Causative Noun,2,papakupu:2,,,NEEDS_EN+MI,,
Demonstrative Determiner,2,papakupu:2,,,NEEDS_EN+MI,,
Demonstrative determiner,2,papakupu:2,,,NEEDS_EN+MI,,
Derived noun,2,papakupu:2,,,NEEDS_EN+MI,,
Determiner,2,papakupu:2,Determiner,,NEEDS_MI,,
Directional particle,2,papakupu:2,,,NEEDS_EN+MI,,
Enumerator,2,papakupu:2,,,NEEDS_EN+MI,,
Focus particle,2,papakupu:2,,,NEEDS_EN+MI,,
From English,2,papakupu:2,,,NEEDS_EN+MI,,
Idiom,2,papakupu:2,,,NEEDS_EN+MI,,
Interrogative,2,papakupu:2,,,NEEDS_EN+MI,,
Linking particle,2,papakupu:2,,,NEEDS_EN+MI,,
Local Noun,2,papakupu:2,,,NEEDS_EN+MI,,
Locative,2,papakupu:2,Locative,Tūwāhi,OK,,
Locative particle,2,papakupu:2,,,NEEDS_EN+MI,,
Meremere Penfold,2,papakupu:2,,,NEEDS_EN+MI,,
Ng,2,papakupu:2,,,NEEDS_EN+MI,,
Personal Numeral,2,papakupu:2,,,NEEDS_EN+MI,,
Personal pronoun,2,papakupu:2,,,NEEDS_EN+MI,,
Possessive Determiner,2,papakupu:2,,,NEEDS_EN+MI,,
Possessive definitive,2,papakupu:2,,,NEEDS_EN+MI,,
Postposed particle,2,papakupu:2,,,NEEDS_EN+MI,,
Term of address,2,papakupu:2,,,NEEDS_EN+MI,,
1st person dual inclusive,1,papakupu:1,,,NEEDS_EN+MI,,
3rd pers. dual.,1,papakupu:1,,,NEEDS_EN+MI,,
Adverb indicating agreement,1,papakupu:1,,,NEEDS_EN+MI,,
Agentive particle,1,papakupu:1,,,NEEDS_EN+MI,,
Agentive prefix,1,papakupu:1,,,NEEDS_EN+MI,,
Auxilliary Verb,1,papakupu:1,,,NEEDS_EN+MI,,
Causative Verb,1,papakupu:1,,,NEEDS_EN+MI,,
Cf. Ngāi,1,papakupu:1,,,NEEDS_EN+MI,,
Cf. tīrengi,1,papakupu:1,,,NEEDS_EN+MI,,
Defintive pronoun,1,papakupu:1,,,NEEDS_EN+MI,,
"Demonstrative
determiner",1,papakupu:1,,,NEEDS_EN+MI,,
Derived Agentive Noun,1,papakupu:1,,,NEEDS_EN+MI,,
Derived Stative,1,papakupu:1,,,NEEDS_EN+MI,,
Derived causative,1,papakupu:1,,,NEEDS_EN+MI,,
Dervived noun,1,papakupu:1,,,NEEDS_EN+MI,,
Determiner & Pronoun,1,papakupu:1,,,NEEDS_EN+MI,,
Distributive prefix,1,papakupu:1,,,NEEDS_EN+MI,,
Emphatic Particle,1,papakupu:1,,,NEEDS_EN+MI,,
Emphatic particle,1,papakupu:1,,,NEEDS_EN+MI,,
Expletive,1,papakupu:1,,,NEEDS_EN+MI,,
Focus combination,1,papakupu:1,,,NEEDS_EN+MI,,
"From Austronesian *""ulu head",1,papakupu:1,,,NEEDS_EN+MI,,
"From P-Tahitic urupā (meaning uncertain – cf. 
Tahitian urupa thicket; uru 2",1,papakupu:1,,,NEEDS_EN+MI,,
From the same source as unu 2; cf. Hawaiian,1,papakupu:1,,,NEEDS_EN+MI,,
