raw_pos,canonical_en,canonical_mi,status,notes
1st person dual inclusive,Pronoun,Tūpou,reviewed,atomic POS code placeholder
3rd pers. dual.,Pronoun,Tūpou,reviewed,atomic POS code placeholder
Adverb,Adverb,Tūkē,reviewed,
Adverb indicating agreement,Adverb,Tūkē,reviewed,
Agentive particle,Particle,Pūtūmua,reviewed,
Agentive prefix,Particle,Pīmua,reviewed,
Auxilliary Verb,Auxiliary Verb,,reviewed,
Causative Noun,Noun (causative),,reviewed,
Causative Verb,Verb (causative),,reviewed,
Cf. Ngāi,,,not_pos,atomic POS code placeholder
Cf. tīrengi,,,not_pos,
Conjunction,Conjunction,Tūhono,reviewed,
Definitive,Definitive,,reviewed,
Definitive pronoun,Pronoun (definitive),,reviewed,
Defintive pronoun,Pronoun (definitive),,reviewed,atomic POS code placeholder
"Demonstrative
determiner",Demonstrative determiner,,reviewed,
Demonstrative Determiner,Demonstrative determiner,,reviewed,
Demonstrative determiner,Demonstrative determiner,,reviewed,
Derived Agentive Noun,Derived Agentive Noun,,reviewed,
Derived Noun,Noun (derived),Tūwhakaingoa,reviewed,
Derived Stative,Derived Stative,,reviewed,
Derived causative,Derived causative,,reviewed,
Derived noun,Noun (derived),Tūwhakaingoa,reviewed,
Dervived noun,Noun (derived),Tūwhakaingoa,reviewed,atomic POS code placeholder
Determiner & Pronoun,"Determiner, Pronoun",,reviewed,
Directional particle,Directional particle,,reviewed,
Distributive prefix,Distributive prefix,,reviewed,
Emphatic Particle,Emphatic particle,,reviewed,
Emphatic particle,Emphatic particle,,reviewed,
Enumerator,Enumerator,,reviewed,
Exclamation,Exclamation,,reviewed,
Exclamatory directional particle,Exclamatory directional particle,,reviewed,
Exclamatory particle,Exclamatory particle,,reviewed,
Expletive,Expletive,Tūkanga,reviewed,
Focus combination,Focus combination,,reviewed,
Focus particle,Focus particle,,reviewed,
"From Austronesian *""ulu head",,,not_pos,atomic POS code placeholder
From English,,,not_pos,
"From P-Tahitic urupā (meaning uncertain – cf. 
Tahitian urupa thicket; uru 2",,,not_pos,
From the same source as unu 2; cf. Hawaiian,,,not_pos,atomic POS code placeholder
Her,,,not_pos,
Idiom,Idiom,Kīwaha,reviewed,
Indefinite personal pronoun,Pronoun (indefinite),,reviewed,
Interjection and conjunction,Interjection and conjunction,,reviewed,
Interjection expressing distress or surprise,Interjection expressing distress or surprise,,reviewed,
Interrogative,Interrogative,Tūpātai,reviewed,
Interrogative Pronoun & Universal,Interrogative Pronoun & Universal,,reviewed,
Interrogative demonstrative,Interrogative demonstrative,,reviewed,
Interrogative pronoun,Interrogative demonstrative,,reviewed,
Linking particle,Linking particle,,reviewed,
Local Noun,Locative,Tūwāhi,reviewed,
Locative Noun,Locative,Tūwāhi,reviewed,
Locative Particle,Locative particle,,reviewed,
Locative particle,Locative particle,,reviewed,
Locative preposition,Locative preposition,,reviewed,
Manner Particle,Manner Particle,,reviewed,
"March
2003",,,not_pos,atomic POS code placeholder
March 2003,,,not_pos,atomic POS code placeholder
Meremere Penfold,,,not_pos,atomic POS code placeholder
Name,Proper noun (person),Tūmoko,reviewed,
Negative,Negative,Tūwhakakāhore,reviewed,
Negative Verb,Verb (negative),,reviewed,
Negative adverb,Adverb (negative),,reviewed,
Negative exclamation,Exclamation (negative),,reviewed,
Negative phrase,Negative phrase,,reviewed,
Negative verb,Verb (negative),,reviewed,
Neuter Verb,Verb (neuter),,reviewed,
Neutral possessive,Neutral possessive,,reviewed,
Ng,,,not_pos,
Ngare,,,not_pos,atomic POS code placeholder
No examples in database,,,not_pos,atomic POS code placeholder
No further information in database; linked to upoko,,,not_pos,
"Note from Te
Mātāpunenga ©",,,not_pos,
"Note from Te Mātāpunenga 
©",,,not_pos,
Note from Te Mātāpunenga ©,,,not_pos,
Noun Phrase,Noun phrase,,reviewed,
Noun and Verb,"Noun, Verb","Tūingoa, Tūmahi",reviewed,
Noun phrase,Noun phrase,,reviewed,
Numeral,Numeral,Tūtau,reviewed,
Numeral Particle,Numeral Particle,,reviewed,
Numeral prefix,Numeral prefix,,reviewed,
Ordinal Numeral,Ordinal Numeral,,reviewed,
Origin might be ū + kai + pō,,,not_pos,
P-Polynesian *'ulu head,,,not_pos,atomic POS code placeholder
Particle following a noun or pronoun,Particle,Pīmuri,reviewed,
Passive Verb,Verb (passive),Tūmahi hāngū,reviewed,
Passive verb,Verb (passive),Tūmahi hāngū,reviewed,
Personal Name,Proper noun (person),Tūmoko,reviewed,
Personal Names,Proper noun (person),Tūmoko,reviewed,
Personal Noun,Noun,Tūingoa,reviewed,
Personal name,Proper noun (person),Tūmoko,reviewed,
Personal pronoun,Pronoun,Tūpou,reviewed,
Place,Proper noun (place),Tūwāhi,reviewed,
"Place
Name",Proper noun (place),Tūwāhi,reviewed,
Place Name,Proper noun (place),Tūmoko,reviewed,
Place name,Proper noun (place),Tūmoko,reviewed,
Positional particle,Positional particle,,reviewed,
Possessive,Pronoun (possessive),,reviewed,
"Possessive
pronoun – combination of a [2",Pronoun (possessive),,reviewed,
Possessive Determiner,Possessive determiner,,reviewed,
Possessive Determner,Possessive determiner,,reviewed,atomic POS code placeholder
Possessive combination,Possessive combination,,reviewed,
Possessive definitive,Possessive definitive,,reviewed,atomic POS code placeholder
Possessive particle,Possessive particle,,reviewed,
Possessive particle >  belong to,Possessive particle,,reviewed,atomic POS code placeholder
Possessive pronoun,Pronoun (possessive),,reviewed,
Possessive pronoun – combination of a [2,Pronoun (possessive),,reviewed,
Postposed Particle,Postposed particle,,reviewed,
Postposed particle,Postposed particle,,reviewed,
Preposed particle,Preposed particle,,reviewed,
Preposition (Time Particle) and Determiner,"Preposition (Time Particle), Determiner",,reviewed,
Preposition + Pronoun,"Preposition, Pronoun",,reviewed,
Pronoun,Pronoun,Tūmoko,reviewed,
Stative,Stative,Tūāhua oti,reviewed,
Stative combination,Stative combination,,reviewed,
Temporal base,Temporal base,,reviewed,
Term of address,Term of address,,reviewed,
Their,,,not_pos,
They,,,not_pos,
Time expression,Time expression,,reviewed,
"Tongan unuhi 
“take out",,,not_pos,atomic POS code placeholder
Verb (intransitive),Verb (intransitive),Tūmahi poro,reviewed,
Verb (transitive),Verb (intransitive),Tumahi poro,reviewed,
Verb phrase,Verb phrase,,reviewed,
